Year,biomass_relative_to_msy,total_biomass,spawning_stock_biomass,total_catch,fishing_mortality,exploitation_rate,total_biomass_relative_to_msy,spawning_stock_relative_to_msy,fishing_mortality_relative_to_msy,catch_relative_to_msy
1930,2.72,1140000,3489000,546450,0.0105,0.350674212121212,2.72,1.9,0.112,4.2054570606060615
1931,2.69,9690000,1280000,546450,0.0152,0.350674212121212,2.69,1.89,0.157,4.2054570606060615
1932,2.65,9670000,1280000,546450,0.0117,0.350674212121212,2.65,1.87,0.131,4.2054570606060615
1933,2.63,9660000,1280000,546450,0.0108,0.350674212121212,2.63,1.87,0.118,4.2054570606060615
1934,2.61,9650000,1280000,546450,0.0169,0.350674212121212,2.61,1.86,0.196,4.2054570606060615
1935,2.57,9640000,1280000,546450,0.0201,0.350674212121212,2.57,1.84,0.219,4.2054570606060615
1936,2.53,9630000,1280000,546450,0.0155,0.350674212121212,2.53,1.82,0.179,4.2054570606060615
1937,2.51,9620000,1280000,546450,0.0126,0.350674212121212,2.51,1.81,0.146,4.2054570606060615
1938,2.49,9610000,1280000,546450,0.0146,0.350674212121212,2.49,1.81,0.158,4.2054570606060615
1939,2.48,9600000,1280000,546450,0.0172,0.350674212121212,2.48,1.8,0.187,4.2054570606060615
1940,2.46,9610000,1280000,546450,0.0105,0.350674212121212,2.46,1.79,0.127,4.2054570606060615
1941,2.45,9510000,1280000,546450,0.014,0.350674212121212,2.45,1.8,0.146,4.2054570606060615
1942,2.44,9450000,1260000,546450,0.0169,0.350674212121212,2.44,1.8,0.186,4.2054570606060615
1943,2.43,9390000,1250000,546450,0.0169,0.350674212121212,2.43,1.79,0.187,4.2054570606060615
1944,2.41,9320000,1240000,546450,0.0169,0.350674212121212,2.41,1.78,0.191,4.2054570606060615
1945,2.4,9250000,1230000,546450,0.0283,0.350674212121212,2.4,1.78,0.312,4.2054570606060615
1946,2.36,9167000,1220000,546450,0.0245,0.350674212121212,2.36,1.75,0.268,4.2054570606060615
1947,2.33,9097000,1200000,546450,0.0213,0.350674212121212,2.33,1.73,0.236,4.2054570606060615
1948,2.31,9036000,1200000,546450,0.0257,0.350674212121212,2.31,1.73,0.282,4.2054570606060615
1949,2.29,8936000,1190000,546450,0.0307,0.350674212121212,2.29,1.71,0.33,4.2054570606060615
